It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     65/2    0.000    0.000    4.503    2.252 text.py:926(get_window_extent)
    101/2    0.002    0.000    4.503    2.252 text.py:358(_get_layout)
        1    4.016    4.016    4.016    4.016 mandelbrot.py:10(simple_mandelbrot)
       32    0.001    0.000    0.632    0.020 __init__.py:1(<module>)
    349/7    0.001    0.000    0.424    0.061 <frozen importlib._bootstrap>:1349(_find_and_load)
    346/7    0.001    0.000    0.424    0.061 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    331/7    0.001    0.000    0.423    0.060 <frozen importlib._bootstrap>:911(_load_unlocked)
    799/9    0.000    0.000    0.423    0.047 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    291/7    0.000    0.000    0.423    0.060 <frozen importlib._bootstrap_external>:989(exec_module)
   423/16    0.000    0.000    0.394    0.025 {built-in method builtins.__import__}
   418/27    0.001    0.000    0.394    0.015 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.260    0.260 pyplot.py:1(<module>)
1107/1019    0.010    0.000    0.219    0.000 {built-in method builtins.__build_class__}
      106    0.002    0.000    0.157    0.001 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.155    0.001 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.131    0.131 figure.py:1(<module>)
      120    0.000    0.000    0.124    0.001 artist.py:1832(kwdoc)
      120    0.003    0.000    0.106    0.001 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.100    0.100 colorbar.py:1(<module>)
     4409    0.007    0.000    0.086    0.000 artist.py:1461(get_valid_values)
     7555    0.037    0.000    0.067    0.000 inspect.py:875(cleandoc)
    209/5    0.000    0.000    0.062    0.012 text.py:65(_get_text_metrics_with_cache)
        1    0.000    0.000    0.062    0.062 cbook.py:1(<module>)
        3    0.000    0.000    0.062    0.021 text.py:73(_get_text_metrics_with_cache_impl)
        1    0.000    0.000    0.061    0.061 contour.py:1(<module>)
     7512    0.003    0.000    0.058    0.000 inspect.py:856(getdoc)
        1    0.000    0.000    0.058    0.058 rcsetup.py:1(<module>)
        1    0.000    0.000    0.058    0.058 backend_bases.py:1(<module>)
        3    0.025    0.008    0.052    0.017 backend_agg.py:206(get_text_width_height_descent)
        1    0.000    0.000    0.051    0.051 text.py:1(<module>)
      291    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.047    0.047 _axes.py:1(<module>)
      227    0.000    0.000    0.041    0.000 artist.py:1413(__init__)
      227    0.013    0.000    0.041    0.000 artist.py:1433(get_aliases)
        1    0.000    0.000    0.035    0.035 collections.py:1(<module>)
      291    0.009    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     7007    0.003    0.000    0.032    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.030    0.030 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.030    0.030 patches.py:1(<module>)
        1    0.000    0.000    0.029    0.029 axes3d.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _base.py:1(<module>)
        2    0.027    0.013    0.027    0.013 image.py:585(draw)
      227    0.008    0.000    0.027    0.000 artist.py:1511(get_setters)
        2    0.000    0.000    0.026    0.013 image.py:903(make_image)
        3    0.000    0.000    0.026    0.009 core.py:1(<module>)
      291    0.026    0.000    0.026    0.000 {built-in method marshal.loads}
        2    0.001    0.000    0.026    0.013 image.py:337(_make_image)
      219    0.001    0.000    0.026    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.025    0.025 colors.py:1(<module>)
       12    0.000    0.000    0.025    0.002 axis.py:1276(_update_ticks)
        1    0.000    0.000    0.025    0.025 __config__.py:1(<module>)
     5933    0.002    0.000    0.024    0.000 __init__.py:174(search)
        1    0.000    0.000    0.023    0.023 _index_tricks_impl.py:1(<module>)
        9    0.000    0.000    0.023    0.003 _base.py:783(__init_subclass__)
        1    0.000    0.000    0.021    0.021 defmatrix.py:1(<module>)
       31    0.002    0.000    0.020    0.001 __init__.py:884(_rc_params_in_file)
        1    0.000    0.000    0.020    0.020 _linalg.py:1(<module>)
  128/117    0.000    0.000    0.019    0.000 _docstring.py:122(__call__)
      729    0.000    0.000    0.018    0.000 inspect.py:3308(signature)
      729    0.000    0.000    0.018    0.000 inspect.py:3050(from_callable)
  864/729    0.002    0.000    0.017    0.000 inspect.py:2470(_signature_from_callable)
  330/250    0.000    0.000    0.017    0.000 typing.py:392(inner)
       12    0.000    0.000    0.017    0.001 axis.py:1644(get_major_ticks)
  331/323    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       14    0.000    0.000    0.016    0.001 _docstring.py:73(__missing__)
      219    0.000    0.000    0.016    0.000 _parser.py:969(parse)
      981    0.001    0.000    0.015    0.000 __init__.py:748(__setitem__)
  473/219    0.001    0.000    0.015    0.000 _parser.py:452(_parse_sub)
  546/243    0.005    0.000    0.014    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.014    0.014 art3d.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _axes.py:67(Axes)
       20    0.000    0.000    0.014    0.001 axis.py:1585(_get_tick)
      344    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.013    0.013 pyplot.py:3579(imshow)
       65    0.000    0.000    0.013    0.000 __init__.py:226(compile)
      696    0.004    0.000    0.012    0.000 inspect.py:2366(_signature_from_function)
        4    0.000    0.000    0.012    0.003 image.py:163(_resample)
        4    0.012    0.003    0.012    0.003 {built-in method matplotlib._image.resample}
        1    0.000    0.000    0.012    0.012 Image.py:1(<module>)
    17/16    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
    17/16    0.008    0.000    0.012    0.001 {built-in method _imp.create_dynamic}
    80965    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.011    0.006 pyplot.py:2783(gca)
